                  Temp     Hi    Low   Out    Dew  Wind  Wind  Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar    Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir   Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
12/31/20  2:45a   26.6   26.7   26.6    57   13.4   0.0   ---  0.00   0.0   ---   26.6   26.0   26.0   22.4   828.2  0.00  0.00     0     0.00      0     0.133   0.000   68.7    12   14.0   63.1   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  2:50a   26.6   26.6   26.6    56   13.0   0.0   ---  0.00   0.0   ---   26.6   26.0   26.0   22.4   828.2  0.00  0.00     0     0.00      0     0.133   0.000   68.7    12   14.0   63.1   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  2:55a   26.8   26.8   26.6    54   12.4   0.0   ---  0.00   0.0   ---   26.8   26.1   26.1   22.5   828.1  0.00  0.00     0     0.00      0     0.133   0.000   68.9    12   14.1   63.4   2.95  .0611    0.000   118    1    100.0    5 
12/31/20  3:00a   26.9   26.9   26.8    56   13.3   0.0   ---  0.00   0.0   ---   26.9   26.2   26.2   22.6   828.0  0.00  0.00     0     0.00      0     0.132   0.000   69.0    12   14.2   63.5   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  3:05a   27.0   27.0   26.9    56   13.4   0.0   WSW  0.00   1.0   WSW   27.0   26.3   26.3   22.7   827.9  0.00  0.00     0     0.00      0     0.132   0.000   69.0    12   14.2   63.5   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  3:10a   27.0   27.0   27.0    56   13.4   1.0     W  0.08   4.0     W   27.0   26.3   26.3   22.7   827.9  0.00  0.00     0     0.00      0     0.132   0.000   69.2    12   14.4   63.7   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  3:15a   27.0   27.0   27.0    56   13.4   3.0   WNW  0.25   6.0   WNW   23.7   26.3   23.0   19.4   827.7  0.00  0.00     0     0.00      0     0.132   0.000   69.2    12   14.4   63.7   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  3:20a   27.0   27.0   27.0    56   13.4   2.0    NW  0.17   5.0    NW   25.5   26.3   24.8   21.2   827.7  0.00  0.00     0     0.00      0     0.132   0.000   68.9    12   14.1   63.4   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  3:25a   27.2   27.2   27.0    56   13.6   0.0    NW  0.00   3.0    NW   27.2   26.5   26.5   22.9   827.5  0.00  0.00     0     0.00      0     0.131   0.000   68.7    12   14.0   63.1   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  3:30a   27.4   27.4   27.2    56   13.7   0.0    NW  0.00   1.0    NW   27.4   26.7   26.7   23.1   827.6  0.00  0.00     0     0.00      0     0.131   0.000   68.7    12   14.0   63.1   2.95  .0611    0.000   117    1    100.0    5 
